symptom,symptom_kriol,description_en,common_causes_en,advice_en,description_kriol,common_causes_kriol,advice_kriol
chest pain,chest bin pain,"Pain or tightness in the chest This can mean your body is reacting to changes or showing early signs of something affecting chest pain. If it continues or becomes stronger, it’s worth paying attention.","Heart issue or muscle strain — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Rest and seek medical care if severe. Try to rest, eat light meals, and stay hydrated. If chest pain keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu chest bin pain o tait. Diswan showim dat yu body bin chenj o stat sik smol long chest bin pain. Yu mas lukluk gud if im no go wey o kam bak gen.,"Heart sik o muscle strain — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Rest an go klinik kwik. Rest smol, drink plenti watta, an no stress. If chest bin pain no go wey o kam bak strong, yu beta go luk doktor blong help yu."
back pain,bak sore,"Pain in lower or upper back This can mean your body is reacting to changes or showing early signs of something affecting back pain. If it continues or becomes stronger, it’s worth paying attention.","Heavy lifting or poor posture — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Use warm compress and rest. Try to rest, eat light meals, and stay hydrated. If back pain keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Bak bin sore from lif hevi o wok longtaim. Diswan showim dat yu body bin chenj o stat sik smol long bak sore. Yu mas lukluk gud if im no go wey o kam bak gen.,"Lif hevi o wok longtaim — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Rest an put hot watta botol. Rest smol, drink plenti watta, an no stress. If bak sore no go wey o kam bak strong, yu beta go luk doktor blong help yu."
itchy skin,skin itchy,"Skin feels scratchy or irritated This can mean your body is reacting to changes or showing early signs of something affecting itchy skin. If it continues or becomes stronger, it’s worth paying attention.","Allergy or dryness — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Use lotion and avoid scratching. Try to rest, eat light meals, and stay hydrated. If itchy skin keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Skin bin itchy o dry. Diswan showim dat yu body bin chenj o stat sik smol long skin itchy. Yu mas lukluk gud if im no go wey o kam bak gen.,"Allergy o dry skin — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Yus lotion an no scratch. Rest smol, drink plenti watta, an no stress. If skin itchy no go wey o kam bak strong, yu beta go luk doktor blong help yu."
rash,skin red rash,"Red or bumpy skin patch This can mean your body is reacting to changes or showing early signs of something affecting rash. If it continues or becomes stronger, it’s worth paying attention.","Allergy or infection — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Keep skin clean and dry. Try to rest, eat light meals, and stay hydrated. If rash keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Skin gat red rash. Diswan showim dat yu body bin chenj o stat sik smol long skin red rash. Yu mas lukluk gud if im no go wey o kam bak gen.,"Allergy o infection — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Kleenim skin an keep dry. Rest smol, drink plenti watta, an no stress. If skin red rash no go wey o kam bak strong, yu beta go luk doktor blong help yu."
vomiting,spiu kai kai,"Throwing up food or liquid This can mean your body is reacting to changes or showing early signs of something affecting vomiting. If it continues or becomes stronger, it’s worth paying attention.","Food poisoning or infection — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Drink water slowly and rest. Try to rest, eat light meals, and stay hydrated. If vomiting keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu bin spiu kai kai. Diswan showim dat yu body bin chenj o stat sik smol long spiu kai kai. Yu mas lukluk gud if im no go wey o kam bak gen.,"Food poison o sik — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Drink watta smol smol an rest. Rest smol, drink plenti watta, an no stress. If spiu kai kai no go wey o kam bak strong, yu beta go luk doktor blong help yu."
nausea,bel bug,"Feeling sick or want to vomit This can mean your body is reacting to changes or showing early signs of something affecting nausea. If it continues or becomes stronger, it’s worth paying attention.","Stomach bug or stress — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Eat bland food and rest. Try to rest, eat light meals, and stay hydrated. If nausea keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu feelim laik spiu. Diswan showim dat yu body bin chenj o stat sik smol long bel bug. Yu mas lukluk gud if im no go wey o kam bak gen.,"Bel bug o stress — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Kai kai smol an rest. Rest smol, drink plenti watta, an no stress. If bel bug no go wey o kam bak strong, yu beta go luk doktor blong help yu."
ear pain,ear sore,"Pain inside or around the ear This can mean your body is reacting to changes or showing early signs of something affecting ear pain. If it continues or becomes stronger, it’s worth paying attention.","Ear infection or wax buildup — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Keep ear dry. See doctor if pain continues. Try to rest, eat light meals, and stay hydrated. If ear pain keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu ear bin sore. Diswan showim dat yu body bin chenj o stat sik smol long ear sore. Yu mas lukluk gud if im no go wey o kam bak gen.,"Ear infection o wax — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Keep ear dry an no put samting insaid. Rest smol, drink plenti watta, an no stress. If ear sore no go wey o kam bak strong, yu beta go luk doktor blong help yu."
eye pain,eye sore,"Pain or irritation in the eye This can mean your body is reacting to changes or showing early signs of something affecting eye pain. If it continues or becomes stronger, it’s worth paying attention.","Infection or dryness — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Rest eyes and avoid rubbing. Try to rest, eat light meals, and stay hydrated. If eye pain keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu eye bin sore o red. Diswan showim dat yu body bin chenj o stat sik smol long eye sore. Yu mas lukluk gud if im no go wey o kam bak gen.,"Infection o dry eye — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","No rub eye, rest an go klinik if bad. Rest smol, drink plenti watta, an no stress. If eye sore no go wey o kam bak strong, yu beta go luk doktor blong help yu."
blurry vision,eye bluri,"Seeing unclear or fuzzy This can mean your body is reacting to changes or showing early signs of something affecting blurry vision. If it continues or becomes stronger, it’s worth paying attention.","Eye strain or diabetes — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Rest eyes and get an eye check. Try to rest, eat light meals, and stay hydrated. If blurry vision keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu eye lukim bluri. Diswan showim dat yu body bin chenj o stat sik smol long eye bluri. Yu mas lukluk gud if im no go wey o kam bak gen.,"Eye strain o sugar sik — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Rest an checkup la eye doktor. Rest smol, drink plenti watta, an no stress. If eye bluri no go wey o kam bak strong, yu beta go luk doktor blong help yu."
joint pain,joint bin pain,"Pain or stiffness in joints This can mean your body is reacting to changes or showing early signs of something affecting joint pain. If it continues or becomes stronger, it’s worth paying attention.","Arthritis or overuse — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Stretch gently and rest. Try to rest, eat light meals, and stay hydrated. If joint pain keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu joint bin pain. Diswan showim dat yu body bin chenj o stat sik smol long joint bin pain. Yu mas lukluk gud if im no go wey o kam bak gen.,"Arthritis o wok tu moch — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Stretch smol an rest. Rest smol, drink plenti watta, an no stress. If joint bin pain no go wey o kam bak strong, yu beta go luk doktor blong help yu."
sweating,swet plenti,"Excess sweating even when not hot This can mean your body is reacting to changes or showing early signs of something affecting sweating. If it continues or becomes stronger, it’s worth paying attention.","Fever or stress — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Drink water and rest. Try to rest, eat light meals, and stay hydrated. If sweating keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu swet plenti. Diswan showim dat yu body bin chenj o stat sik smol long swet plenti. Yu mas lukluk gud if im no go wey o kam bak gen.,"Fever o stress — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Drink watta an rest. Rest smol, drink plenti watta, an no stress. If swet plenti no go wey o kam bak strong, yu beta go luk doktor blong help yu."
chills,body kol kol,"Feeling cold with shivering This can mean your body is reacting to changes or showing early signs of something affecting chills. If it continues or becomes stronger, it’s worth paying attention.","Fever or infection — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Keep warm and rest. Try to rest, eat light meals, and stay hydrated. If chills keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu body bin kol kol an shake. Diswan showim dat yu body bin chenj o stat sik smol long body kol kol. Yu mas lukluk gud if im no go wey o kam bak gen.,"Fever o infection — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Kepa warm an rest. Rest smol, drink plenti watta, an no stress. If body kol kol no go wey o kam bak strong, yu beta go luk doktor blong help yu."
loss of appetite,no laik kai kai,"Not wanting to eat This can mean your body is reacting to changes or showing early signs of something affecting loss of appetite. If it continues or becomes stronger, it’s worth paying attention.","Stress or stomach illness — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Try small meals and drink fluids. Try to rest, eat light meals, and stay hydrated. If loss of appetite keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu no laik kai kai. Diswan showim dat yu body bin chenj o stat sik smol long no laik kai kai. Yu mas lukluk gud if im no go wey o kam bak gen.,"Stress o bel sik — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Kai kai smol smol an drink watta. Rest smol, drink plenti watta, an no stress. If no laik kai kai no go wey o kam bak strong, yu beta go luk doktor blong help yu."
constipation,no go toilet,"Hard or difficult bowel movement This can mean your body is reacting to changes or showing early signs of something affecting constipation. If it continues or becomes stronger, it’s worth paying attention.","Low fiber diet or dehydration — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Eat fruit, drink water, and walk. Try to rest, eat light meals, and stay hydrated. If constipation keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu no go toilet gud. Diswan showim dat yu body bin chenj o stat sik smol long no go toilet. Yu mas lukluk gud if im no go wey o kam bak gen.,"No fiber o no drink watta — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Kai kai fruit an drink plenti watta. Rest smol, drink plenti watta, an no stress. If no go toilet no go wey o kam bak strong, yu beta go luk doktor blong help yu."
diarrhea,toilet wet,"Frequent watery stools This can mean your body is reacting to changes or showing early signs of something affecting diarrhea. If it continues or becomes stronger, it’s worth paying attention.","Infection or food issue — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Drink fluids and avoid oily food. Try to rest, eat light meals, and stay hydrated. If diarrhea keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu go toilet plenti wet. Diswan showim dat yu body bin chenj o stat sik smol long toilet wet. Yu mas lukluk gud if im no go wey o kam bak gen.,"Infection o rong kai kai — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Drink watta an no kai kai oil kai kai. Rest smol, drink plenti watta, an no stress. If toilet wet no go wey o kam bak strong, yu beta go luk doktor blong help yu."
burning urination,pee hot,"Pain or burn when peeing This can mean your body is reacting to changes or showing early signs of something affecting burning urination. If it continues or becomes stronger, it’s worth paying attention.","Urinary infection — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Drink lots of water and see doctor. Try to rest, eat light meals, and stay hydrated. If burning urination keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu pee bin hot o pain. Diswan showim dat yu body bin chenj o stat sik smol long pee hot. Yu mas lukluk gud if im no go wey o kam bak gen.,"Urine infection — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Drink plenti watta an go klinik. Rest smol, drink plenti watta, an no stress. If pee hot no go wey o kam bak strong, yu beta go luk doktor blong help yu."
body aches,body bin pain,"General muscle pain This can mean your body is reacting to changes or showing early signs of something affecting body aches. If it continues or becomes stronger, it’s worth paying attention.","Flu or tiredness — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Rest and stay hydrated. Try to rest, eat light meals, and stay hydrated. If body aches keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu body bin pain allova. Diswan showim dat yu body bin chenj o stat sik smol long body bin pain. Yu mas lukluk gud if im no go wey o kam bak gen.,"Flu o taiya — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Rest an drink watta. Rest smol, drink plenti watta, an no stress. If body bin pain no go wey o kam bak strong, yu beta go luk doktor blong help yu."
insomnia,no slip gud,"Difficulty sleeping This can mean your body is reacting to changes or showing early signs of something affecting insomnia. If it continues or becomes stronger, it’s worth paying attention.","Stress or caffeine — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Avoid screens before bed and relax. Try to rest, eat light meals, and stay hydrated. If insomnia keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu no slip gud. Diswan showim dat yu body bin chenj o stat sik smol long no slip gud. Yu mas lukluk gud if im no go wey o kam bak gen.,"Stress o drink coffee tu moch — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","No luk phone an rest gud. Rest smol, drink plenti watta, an no stress. If no slip gud no go wey o kam bak strong, yu beta go luk doktor blong help yu."
anxiety,wari,"Feeling nervous or worried This can mean your body is reacting to changes or showing early signs of something affecting anxiety. If it continues or becomes stronger, it’s worth paying attention.","Stress or lack of rest — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Practice breathing and talk to someone. Try to rest, eat light meals, and stay hydrated. If anxiety keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu feelim wari o stres. Diswan showim dat yu body bin chenj o stat sik smol long wari. Yu mas lukluk gud if im no go wey o kam bak gen.,"Stress o no rest gud — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Breathe deep an tok wit fren. Rest smol, drink plenti watta, an no stress. If wari no go wey o kam bak strong, yu beta go luk doktor blong help yu."
sneezing,sneez plenti,"Expelling air through the nose repeatedly This can mean your body is reacting to changes or showing early signs of something affecting sneezing. If it continues or becomes stronger, it’s worth paying attention.","Cold or allergy — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Rest and stay away from dust. Try to rest, eat light meals, and stay hydrated. If sneezing keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu sneez plenti. Diswan showim dat yu body bin chenj o stat sik smol long sneez plenti. Yu mas lukluk gud if im no go wey o kam bak gen.,"Kol o allergy — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Rest an no go long dusty ples. Rest smol, drink plenti watta, an no stress. If sneez plenti no go wey o kam bak strong, yu beta go luk doktor blong help yu."
dehydration,no drink watta plenti,"Not enough water in the body This can mean your body is reacting to changes or showing early signs of something affecting dehydration. If it continues or becomes stronger, it’s worth paying attention.","Heat or illness — Often caused by daily factors like tiredness, stress, or small infections, but in some cases it can be a sign of something more serious if it doesn’t improve.","Drink water and rest. Try to rest, eat light meals, and stay hydrated. If dehydration keeps coming back or gets worse, please visit your local clinic or doctor for proper care.",Yu no drink watta plenti. Diswan showim dat yu body bin chenj o stat sik smol long no drink watta plenti. Yu mas lukluk gud if im no go wey o kam bak gen.,"Hot weatha o sik — Diswan save kam from stress, taiya, o smol infection, but if im no go wey kwik, yu beta go klinik blong checkim.","Drink plenti watta an rest smol. Rest smol, drink plenti watta, an no stress. If no drink watta plenti no go wey o kam bak strong, yu beta go luk doktor blong help yu."
