symptom,order,question_en,question_kriol
blurry vision,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
sweating,1,How long have you had sweating?,Yu bin gat sweating fo how long?
sweating,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
sweating,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
sweating,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
constipation,1,How long have you had constipation?,Yu bin gat constipation fo how long?
constipation,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
constipation,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
constipation,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
sneezing,1,How long have you had sneezing?,Yu bin gat sneezing fo how long?
sneezing,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
sneezing,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
sneezing,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
dehydration,1,How long have you had dehydration?,Yu bin gat dehydration fo how long?
dehydration,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
dehydration,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
dehydration,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
night sweats,1,How long have you had night sweats?,Yu bin gat night sweats fo how long?
night sweats,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
night sweats,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
night sweats,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
swollen glands,1,How long have you had swollen glands?,Yu bin gat swollen glands fo how long?
swollen glands,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
swollen glands,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
swollen glands,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
hoarse voice,1,How long have you had hoarse voice?,Yu bin gat hoarse voice fo how long?
hoarse voice,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
hoarse voice,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
hoarse voice,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
eye redness,1,How long have you had eye redness?,Yu bin gat eye redness fo how long?
eye redness,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
eye redness,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
eye redness,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
heartburn,1,How long have you had heartburn?,Yu bin gat heartburn fo how long?
heartburn,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
heartburn,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
heartburn,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
lower back pain,1,How long have you had lower back pain?,Yu bin gat lower back pain fo how long?
lower back pain,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
lower back pain,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
lower back pain,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
shoulder pain,1,How long have you had shoulder pain?,Yu bin gat shoulder pain fo how long?
shoulder pain,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
shoulder pain,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
shoulder pain,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
neck stiffness,1,How long have you had neck stiffness?,Yu bin gat neck stiffness fo how long?
neck stiffness,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
neck stiffness,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
neck stiffness,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
numbness,1,How long have you had numbness?,Yu bin gat numbness fo how long?
numbness,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
numbness,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
numbness,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
loss of balance,1,How long have you had loss of balance?,Yu bin gat loss of balance fo how long?
loss of balance,2,"Is it getting better, worse, or the same?","Im kam gud, moa bad, o seim?"
loss of balance,3,Does anything trigger or relieve it?,Eni samting mek im kamap o mekem im go daun?
loss of balance,4,Do you have any other symptoms with it?,Yu gat eni nara sik tugetha wit dat?
general,1,"On a scale 1–10, how bad is it?","Skel 1–10, ow strong dat sik?"
general,2,When did it start?,Wen im stat?
general,3,Have you taken any medicine?,Yu bin tek eni medisn?
general,4,Anything else worrying you?,Eni nara samting mek yu wari?
