symptom,description_en,common_causes_en,advice_en,description_kriol,common_causes_kriol,advice_kriol
itchy skin,Skin feels scratchy or irritated,Allergy or dryness,"Use lotion or cream, keep skin clean, and wear soft clothes. If it worsens, see a doctor.",Skin bin itchy o dry.,Allergy o dry skin,"Yus lotion o cream, keep skin kleen, wea soft klos. Go klinik if itchy kam moa bad."
rash,Red or bumpy skin patch,Allergy or infection,Avoid scratching and keep skin dry. Use mild cream. Go to clinic if rash spreads or gets painful.,Skin gat red rash.,Allergy o infection,"No scratch, keep skin dry, yus soft cream. Go klinik if rash go moa o pain."
vomiting,Throwing up food or liquid,Food poisoning or infection,Take small sips of water and rest. Avoid solid food until you feel better. See clinic if vomiting often.,Yu bin spiu kai kai.,Food poison o sik,"Drink watta smol smol, rest, no kai kai hevi. Go klinik if spiu plenti o no stop."
nausea,Feeling sick or want to vomit,Stomach bug or stress,Eat bland food and rest. Take deep breaths and avoid strong smells.,Yu feelim laik spiu.,Bel bug o stress,"Kai kai smol lite kai kai, rest, breathe slou, no smell strong kai kai."
ear pain,Pain inside or around the ear,Ear infection or wax buildup,"Keep ear dry, avoid loud sounds, and don’t insert anything. Go to doctor if pain lasts.",Yu ear bin sore.,Ear infection o wax,"Kepa ear dry, no put samting insaid, no lisin loud nois. Go klinik if pain stap longtaim."
eye pain,Pain or irritation in the eye,Infection or dryness,"Rest your eyes, avoid screens, and use clean water if dusty. Seek help if eyes get red or swollen.",Yu eye bin sore o red.,Infection o dry eye,"Rest eye, no luk phone, wash wit kleen watta if dust. Go klinik if eye red o swel."
blurry vision,Seeing unclear or fuzzy,Eye strain or diabetes,Rest eyes and check your vision soon. Avoid driving until vision clears.,Yu eye lukim bluri.,Eye strain o sugar sik,"Rest eye, go klinik fo eye chek, no draiv til yu see klia."
joint pain,Pain or stiffness in joints,Arthritis or overuse,"Stretch gently, rest joints, and apply warmth. If joints swell or lock, visit clinic.",Yu joint bin pain.,Arthritis o wok tu moch,"Stretch smol, rest joint, put hot watta botol. Go klinik if joint swel o lock."
sweating,Excess sweating even when not hot,Fever or stress,Drink plenty of water and rest in a cool place. Go to clinic if sweating comes with chest pain.,Yu swet plenti.,Fever o stress,"Drink plenti watta, rest la kol ples. Go klinik if swet kam wit chest pain."
chills,Feeling cold with shivering,Fever or infection,Keep warm with a blanket and drink warm fluids. Visit doctor if chills don’t stop.,Yu body bin kol kol an shake.,Fever o infection,"Kepa warm wit blanket, drink hot tea. Go klinik if kol shake no stop."
loss of appetite,Not wanting to eat,Stress or stomach illness,Eat small meals often and drink fluids. Try fruit or soup if solid food feels heavy.,Yu no laik kai kai.,Stress o bel sik,"Kai kai smol smol plenti taim, drink watta. Kai fruit o soup if kai kai hevi fo yu."
constipation,Hard or difficult bowel movement,Low fiber diet or dehydration,"Eat fruits, vegetables, and drink water. Walk a little every day to help movement.",Yu no go toilet gud.,No fiber o no drink watta,"Kai kai fruit an veg, drink plenti watta, waka smol evri dei fo help go toilet."
diarrhea,Frequent watery stools,Infection or food issue,Drink water with rehydration salts. Avoid oily food and dairy until recovery.,Yu go toilet plenti wet.,Infection o rong kai kai,"Drink watta wit salt mix, no kai kai oil kai kai o milk til yu beta."
burning urination,Pain or burn when peeing,Urinary infection,Drink lots of water and avoid coffee or alcohol. See doctor for antibiotics if burning continues.,Yu pee bin hot o pain.,Urine infection,"Drink plenti watta, no drink coffee o grog. Go klinik fo medisn if pee still hot."
body aches,General muscle pain,Flu or tiredness,"Rest, stretch lightly, and drink fluids. A warm bath can help muscles relax.",Yu body bin pain allova.,Flu o taiya,"Rest, stretch smol, drink watta. Hot bath help yu masol relax."
insomnia,Difficulty sleeping,Stress or caffeine,"Avoid screens before bed, keep a sleep routine, and relax your mind. See doctor if sleeplessness lasts weeks.",Yu no slip gud.,Stress o drink coffee tu moch,"No luk phone bifo bed, rest mind, slip same taim evri dei. Go klinik if no slip fo longtaim."
anxiety,Feeling nervous or worried,Stress or lack of rest,"Practice deep breathing, take short walks, and talk to someone you trust. Get help if anxiety stops daily life.",Yu feelim wari o stres.,Stress o no rest gud,"Breathe deep, waka smol, tok wit fren yu trust. Go klinik if wari stop yu laif."
sneezing,Expelling air through the nose repeatedly,Cold or allergy,Rest and avoid dusty areas. Use tissues and wash hands often to stop spreading germs.,Yu sneez plenti.,Kol o allergy,"Rest, no go dusty ples, yus tisyu, wash han plenti taim."
dehydration,Not enough water in the body,Heat or illness,Drink water or oral rehydration salts. Avoid long sun exposure. Seek help if you feel dizzy or weak.,Yu no drink watta plenti.,Hot weatha o sik,"Drink plenti watta o salt watta, no stap long hot san. Go klinik if yu feel weak o spin."
