symptom,description_en,common_causes_en,advice_en,description_kriol,common_causes_kriol,advice_kriol
leg swelling,Leg swelling noted by patient.,Cardio‑respiratory or fluid retention causes.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Leg swelling we yu bin feelim.,Bada la heart o breath o bodi holim watta.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
abdominal cramps,Abdominal cramps noted by patient.,"Gastrointestinal irritation, food issues, or dehydration.","Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Abdominal cramps we yu bin feelim.,"Bel bin irritet, kai kai rong, o no drink watta.","Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
nausea,Nausea noted by patient.,"Gastrointestinal irritation, food issues, or dehydration.","Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Nausea we yu bin feelim.,"Bel bin irritet, kai kai rong, o no drink watta.","Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
loss of appetite,Loss of appetite noted by patient.,"Gastrointestinal irritation, food issues, or dehydration.","Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Loss of appetite we yu bin feelim.,"Bel bin irritet, kai kai rong, o no drink watta.","Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
burning urination,Burning urination noted by patient.,Local irritation or infection.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Burning urination we yu bin feelim.,Ples ia gat irritesen o infection.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
ear pain,Ear pain noted by patient.,Local irritation or infection.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Ear pain we yu bin feelim.,Ples ia gat irritesen o infection.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
eye pain,Eye pain noted by patient.,Local irritation or infection.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Eye pain we yu bin feelim.,Ples ia gat irritesen o infection.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
blurry vision,Blurry vision noted by patient.,Neurologic or circulation causes.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Blurry vision we yu bin feelim.,Nerf o blud ran problem.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
sweating,Sweating noted by patient.,Cardio‑respiratory or fluid retention causes.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Sweating we yu bin feelim.,Bada la heart o breath o bodi holim watta.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
constipation,Constipation noted by patient.,"Gastrointestinal irritation, food issues, or dehydration.","Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Constipation we yu bin feelim.,"Bel bin irritet, kai kai rong, o no drink watta.","Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
sneezing,Sneezing noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Sneezing we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
dehydration,Dehydration noted by patient.,"Gastrointestinal irritation, food issues, or dehydration.","Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Dehydration we yu bin feelim.,"Bel bin irritet, kai kai rong, o no drink watta.","Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
night sweats,Night sweats noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Night sweats we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
swollen glands,Swollen glands noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Swollen glands we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
hoarse voice,Hoarse voice noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Hoarse voice we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
eye redness,Eye redness noted by patient.,Common infections (viral or bacterial).,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Eye redness we yu bin feelim.,Plenti taim sik (virus o bakteria).,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
heartburn,Heartburn noted by patient.,"Gastrointestinal irritation, food issues, or dehydration.","Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Heartburn we yu bin feelim.,"Bel bin irritet, kai kai rong, o no drink watta.","Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
lower back pain,Lower back pain noted by patient.,Muscle/joint strain or inflammation.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Lower back pain we yu bin feelim.,Masol o joint bin strain o inflam.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
shoulder pain,Shoulder pain noted by patient.,Muscle/joint strain or inflammation.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Shoulder pain we yu bin feelim.,Masol o joint bin strain o inflam.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
neck stiffness,Neck stiffness noted by patient.,Muscle/joint strain or inflammation.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Neck stiffness we yu bin feelim.,Masol o joint bin strain o inflam.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
numbness,Numbness noted by patient.,Neurologic or circulation causes.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Numbness we yu bin feelim.,Nerf o blud ran problem.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
loss of balance,Loss of balance noted by patient.,Neurologic or circulation causes.,"Rest, hydrate, and monitor. Seek care if severe, persistent, or with red‑flag signs.",Loss of balance we yu bin feelim.,Nerf o blud ran problem.,"Rest, drink plenti watta, an lukaut. Go klinik if im strong, no gowei, o gat bad sign."
